product_id,avg_cost
13631,436.5
13634,375.64486
13637,213.469972
13638,227.337317
13639,37.153516
13640,23.420513
13641,183.215259
13649,19.566988
13651,91.274395
13658,147.388661
13660,362.5
13664,21.751543
13666,18.402778
13667,158.103238
13670,22.528496
13673,170.0
13674,656.705175
13675,1061.107538
13676,1134.77929
13678,77.029412
13680,15.845636
13681,24.758496
13682,13.626174
13686,4.757255
13687,8.505167
13689,75.56106
13690,124.014774
13691,331.702532
13692,850.0
13694,3.824675
13695,28.89
13696,0.817244
13698,189.483108
13699,24.92158
13700,138.467786
13701,5.162857
13703,1933.333333
13708,4.595957
13709,2.303462
13710,16.84858
13711,102.444444
13714,7.025
13718,108.112308
13719,290.719231
13720,248.270968
13722,3.006479
13723,213.880651
13724,165.619405
13726,86.061197
13727,46.12
13732,683.1
13733,208.8388
13734,638.09
13735,410.492857
13738,85.0
13741,50.310946
13742,432.433243
13743,401.425926
13744,782.910221
13745,26.019165
13746,342.65
13748,51.606438
13749,1352.568
13751,51.441082
13752,127.338807
13753,285.732087
13754,12.764076
13758,16.0
13760,1800.0
13764,408.6
13765,141.0
13767,594.907527
13768,160.509186
13770,24.4
13771,135.0
13772,10.751064
13773,15.0
13774,100.598555
13775,108.095238
13779,493.380935
13780,11.914385
13781,15.17817
13783,366.3
13784,437.625556
13787,59.341379
13788,32.0696
13789,69.3
13790,90.514286
13792,74.204651
13793,68.810233
13796,18.432
13797,8.778883
13799,16.808331
13800,1571.7
13801,21.915092
13805,56.719381
13807,73.138742
13808,19.045455
13811,362.0
13812,14.54
13817,9.013412
13818,74.75
13825,816.666667
13827,1543.178977
13828,987.884615
13829,1224.362903
13830,36.058252
13832,32.9456
13833,47.5
13834,27.980392
13835,22.699187
13837,71.653333
13838,706.237895
13840,8.2075
13841,5.5
13843,135.196581
13846,157.5
13850,154.755172
13852,152.85
13853,160.174239
13855,0.912308
13856,20.879167
13857,3.996
13858,2.647368
13859,36.024621
13860,107.459016
13861,221.418279
13862,26.735632
13863,75.588235
13864,70.544444
13867,1136.063
13868,878.022222
13869,253.894
13870,30.0
13871,43.178008
13873,40.318696
13875,232.05
13876,1712.874251
13877,1145.953757
13880,364.555556
